time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-19T15:24:23.120Z,17.9525,-66.8116,12,3.11,md,17,172,0.2243,0.12,pr,pr2021292009,2021-10-19T15:49:12.810Z,"4 km S of Indios, Puerto Rico",earthquake,0.37,0.4,0.17,5,reviewed,pr,pr
2021-10-19T15:18:19.368Z,41.6494,142.7759,50.38,4.5,mb,,63,0.463,0.77,us,us6000fvvz,2021-10-19T16:02:17.040Z,"83 km SSE of Shizunai-furukawachō, Japan",earthquake,6.7,6.3,0.079,49,reviewed,us,us
2021-10-19T15:11:04.808Z,65.708,-144.4803,0,2.5,ml,,,,0.91,ak,ak021df5x7im,2021-10-19T16:06:55.040Z,"21 km NE of Central, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-19T15:06:51.210Z,17.8583,-66.8528,4,2.52,md,10,218,0.2213,0.16,pr,pr2021292008,2021-10-19T15:26:04.282Z,"13 km SSE of Maria Antonia, Puerto Rico",earthquake,0.78,0.79,0.06,5,reviewed,pr,pr
2021-10-19T14:56:27.202Z,49.7257,-123.6266,5,2.5,ml,,125,0.964,0.44,us,us6000fvvn,2021-10-19T16:01:29.595Z,"29 km NNE of Sechelt, Canada",earthquake,2.5,2,0.074,24,reviewed,us,us
2021-10-19T14:54:35.330Z,17.928,-66.8588,18,2.53,md,10,187,0.19,0.08,pr,pr2021292007,2021-10-19T15:25:49.338Z,"6 km SSE of Maria Antonia, Puerto Rico",earthquake,0.48,0.36,0.14,4,reviewed,pr,pr
2021-10-19T13:14:12.539Z,59.8912,-153.3194,123.6,2.9,ml,,,,0.4,ak,ak021df4r01e,2021-10-19T13:28:02.760Z,"45 km ENE of Pedro Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-10-19T12:47:41.000Z,18.0321,-66.8021,15,2.7,md,18,133,0.227,0.27,pr,pr2021292006,2021-10-19T13:10:18.411Z,"1 km NW of Guayanilla, Puerto Rico",earthquake,0.54,0.83,0.27,7,reviewed,pr,pr
2021-10-19T12:36:39.360Z,41.5451,142.8623,44.38,5.1,mww,,97,0.518,0.76,us,us6000fvv2,2021-10-19T14:11:40.627Z,"96 km SSE of Shizunai-furukawachō, Japan",earthquake,6.3,5.5,0.089,12,reviewed,us,us
2021-10-19T12:25:47.380Z,17.9391,-66.8466,12,2.6,ml,6,215,0.1999,0.07,pr,pr2021292004,2021-10-19T12:55:45.460Z,"6 km SE of Maria Antonia, Puerto Rico",earthquake,0.86,0.76,0,0,reviewed,pr,pr
